Date;Rate;OMX_Close;Index_Value
2021-04-19 00:00:00;0,00;2,257.60;60,20
2021-04-20 00:00:00;0,00;2,204.81;59,20
2021-04-21 00:00:00;0,00;2,228.29;59,40
2021-04-22 00:00:00;0,00;2,232.42;59,00
2021-04-23 00:00:00;0,00;2,240.95;59,00
2021-04-26 00:00:00;0,00;2,244.36;57,00
2021-04-27 00:00:00;0,00;2,262.84;55,80
2021-04-28 00:00:00;0,00;2,239.25;54,00
2021-04-29 00:00:00;0,00;2,232.84;55,00
2021-04-30 00:00:00;0,00;2,217.02;55,40
2021-05-03 00:00:00;0,00;2,231.59;57,20
2021-05-04 00:00:00;0,00;2,194.58;57,00
2021-05-05 00:00:00;0,00;2,255.49;58,00
2021-05-06 00:00:00;0,00;2,246.61;53,20
2021-05-07 00:00:00;0,00;2,260.13;51,80
2021-05-10 00:00:00;0,00;2,265.01;50,40
2021-05-11 00:00:00;0,00;2,193.76;48,50
2021-05-12 00:00:00;0,00;2,205.80;50,00
2021-05-14 00:00:00;0,00;2,247.88;50,40
2021-05-17 00:00:00;0,00;2,230.40;51,00
2021-05-18 00:00:00;0,00;2,249.68;52,60
2021-05-19 00:00:00;0,00;2,201.51;52,00
2021-05-20 00:00:00;0,00;2,240.28;52,40
2021-05-21 00:00:00;0,00;2,240.84;53,40
2021-05-24 00:00:00;0,00;2,245.04;51,20
2021-05-25 00:00:00;0,00;2,243.17;53,20
2021-05-26 00:00:00;0,00;2,227.07;53,20
2021-05-27 00:00:00;0,00;2,244.46;53,80
2021-05-28 00:00:00;0,00;2,255.45;52,00
2021-05-31 00:00:00;0,00;2,241.87;51,80
2021-06-01 00:00:00;0,00;2,264.53;51,60
2021-06-02 00:00:00;0,00;2,268.80;51,00
2021-06-03 00:00:00;0,00;2,273.35;51,60
2021-06-04 00:00:00;0,00;2,271.43;51,60
2021-06-07 00:00:00;0,00;2,267.71;51,60
2021-06-08 00:00:00;0,00;2,274.88;51,40
2021-06-09 00:00:00;0,00;2,272.29;52,80
2021-06-10 00:00:00;0,00;2,267.92;51,00
2021-06-11 00:00:00;0,00;2,278.60;50,80
2021-06-14 00:00:00;0,00;2,284.64;51,80
2021-06-15 00:00:00;0,00;2,280.07;51,00
2021-06-16 00:00:00;0,00;2,286.41;50,00
2021-06-17 00:00:00;0,00;2,272.81;50,80
2021-06-18 00:00:00;0,00;2,248.02;50,00
2021-06-21 00:00:00;0,00;2,265.87;50,00
2021-06-22 00:00:00;0,00;2,268.00;48,40
