Date;RATE_Styrränta;Novotek_Open;OMX_Close 
2021-03-17 00:00:00;0,00;53,40;2,172.86
2021-03-18 00:00:00;0,00;52,00;2,179.99
2021-03-19 00:00:00;0,00;53,40;2,169.18
2021-03-22 00:00:00;0,00;52,40;2,174.63
2021-03-23 00:00:00;0,00;53,00;2,168.12
2021-03-24 00:00:00;0,00;52,60;2,184.60
2021-03-25 00:00:00;0,00;50,00;2,173.24
2021-03-26 00:00:00;0,00;53,20;2,198.80
2021-03-29 00:00:00;0,00;54,00;2,182.21
2021-03-30 00:00:00;0,00;56,00;2,205.41
2021-03-31 00:00:00;0,00;60,00;2,192.86
2021-04-01 00:00:00;0,00;57,60;2,202.61
2021-04-06 00:00:00;0,00;58,80;2,230.25
2021-04-07 00:00:00;0,00;58,40;2,229.56
2021-04-08 00:00:00;0,00;58,20;2,240.40
2021-04-09 00:00:00;0,00;59,60;2,250.40
2021-04-12 00:00:00;0,00;60,20;2,233.20
2021-04-13 00:00:00;0,00;58,20;2,247.21
2021-04-14 00:00:00;0,00;59,60;2,228.16
2021-04-15 00:00:00;0,00;60,40;2,242.98
2021-04-16 00:00:00;0,00;60,00;2,280.50
2021-04-19 00:00:00;0,00;59,60;2,257.60
2021-04-20 00:00:00;0,00;60,20;2,204.81
2021-04-21 00:00:00;0,00;59,20;2,228.29
2021-04-22 00:00:00;0,00;60,40;2,232.42
2021-04-23 00:00:00;0,00;60,80;2,240.95
2021-04-26 00:00:00;0,00;61,00;2,244.36
2021-04-27 00:00:00;0,00;57,20;2,262.84
2021-04-28 00:00:00;0,00;56,40;2,239.25
2021-04-29 00:00:00;0,00;54,00;2,232.84
2021-04-30 00:00:00;0,00;54,40;2,217.02
2021-05-03 00:00:00;0,00;57,40;2,231.59
2021-05-04 00:00:00;0,00;57,40;2,194.58
2021-05-05 00:00:00;0,00;57,20;2,255.49
2021-05-06 00:00:00;0,00;57,80;2,246.61
2021-05-07 00:00:00;0,00;52,00;2,260.13
2021-05-10 00:00:00;0,00;50,20;2,265.01
2021-05-11 00:00:00;0,00;48,60;2,193.76
2021-05-12 00:00:00;0,00;48,50;2,205.80
2021-05-14 00:00:00;0,00;50,20;2,247.88
2021-05-17 00:00:00;0,00;50,20;2,230.40
2021-05-18 00:00:00;0,00;51,00;2,249.68
2021-05-19 00:00:00;0,00;52,80;2,201.51
2021-05-20 00:00:00;0,00;52,00;2,240.28
2021-05-21 00:00:00;0,00;52,40;2,240.84
2021-05-24 00:00:00;0,00;53,60;2,245.04
2021-05-25 00:00:00;0,00;51,20;2,243.17
2021-05-26 00:00:00;0,00;53,40;2,227.07
2021-05-27 00:00:00;0,00;53,40;2,244.46
2021-05-28 00:00:00;0,00;53,80;2,255.45
2021-05-31 00:00:00;0,00;52,00;2,241.87
2021-06-01 00:00:00;0,00;51,60;2,264.53
2021-06-02 00:00:00;0,00;51,60;2,268.80
2021-06-03 00:00:00;0,00;51,00;2,273.35
2021-06-04 00:00:00;0,00;51,60;2,271.43
2021-06-07 00:00:00;0,00;51,60;2,267.71
2021-06-08 00:00:00;0,00;51,60;2,274.88
2021-06-09 00:00:00;0,00;52,60;2,272.29
2021-06-10 00:00:00;0,00;53,00;2,267.92
2021-06-11 00:00:00;0,00;53,00;2,278.60
2021-06-14 00:00:00;0,00;51,20;2,284.64
2021-06-15 00:00:00;0,00;50,60;2,280.07
2021-06-16 00:00:00;0,00;50,60;2,286.41
2021-06-17 00:00:00;0,00;50,20;2,272.81
2021-06-18 00:00:00;0,00;50,80;2,248.02
2021-06-21 00:00:00;0,00;50,00;2,265.87
2021-06-22 00:00:00;0,00;51,00;2,268.00
2021-06-23 00:00:00;0,00;52,00;2,242.24
2021-06-24 00:00:00;0,00;47,50;2,270.94
2021-06-28 00:00:00;0,00;48,40;2,256.34
2021-06-29 00:00:00;0,00;47,70;2,279.76
2021-06-30 00:00:00;0,00;47,30;2,263.13
2021-07-01 00:00:00;0,00;52,80;2,273.89
2021-07-02 00:00:00;0,00;50,00;2,288.93
2021-07-05 00:00:00;0,00;49,70;2,299.07
2021-07-06 00:00:00;0,00;49,20;2,288.70
2021-07-07 00:00:00;0,00;50,00;2,326.07
2021-07-08 00:00:00;0,00;50,00;2,289.94
2021-07-09 00:00:00;0,00;48,40;2,319.53
2021-07-12 00:00:00;0,00;51,00;2,337.73
2021-07-13 00:00:00;0,00;48,80;2,349.19
2021-07-14 00:00:00;0,00;49,20;2,356.34
2021-07-15 00:00:00;0,00;48,40;2,344.49
2021-07-16 00:00:00;0,00;47,40;2,338.80
2021-07-19 00:00:00;0,00;47,20;2,287.46
2021-07-20 00:00:00;0,00;46,10;2,303.54
2021-07-21 00:00:00;0,00;46,00;2,334.37
2021-07-22 00:00:00;0,00;48,50;2,352.35
2021-07-23 00:00:00;0,00;48,00;2,384.69
2021-07-26 00:00:00;0,00;47,60;2,387.66
2021-07-27 00:00:00;0,00;47,10;2,375.97
2021-07-28 00:00:00;0,00;46,60;2,381.89
2021-07-29 00:00:00;0,00;46,60;2,384.19
2021-07-30 00:00:00;0,00;47,00;2,369.89
2021-08-02 00:00:00;0,00;46,90;2,381.66
2021-08-03 00:00:00;0,00;48,90;2,380.14
2021-08-04 00:00:00;0,00;47,50;2,393.10
2021-08-05 00:00:00;0,00;47,30;2,393.68
2021-08-06 00:00:00;0,00;47,40;2,380.46
2021-08-09 00:00:00;0,00;47,30;2,384.76
2021-08-10 00:00:00;0,00;46,30;2,393.74
2021-08-11 00:00:00;0,00;46,60;2,401.49
2021-08-12 00:00:00;0,00;47,00;2,405.53
2021-08-13 00:00:00;0,00;46,80;2,407.04
2021-08-16 00:00:00;0,00;46,20;2,373.55
2021-08-17 00:00:00;0,00;47,00;2,383.45
2021-08-18 00:00:00;0,00;57,20;2,371.37
2021-08-19 00:00:00;0,00;56,20;2,330.30
2021-08-20 00:00:00;0,00;58,00;2,360.50
2021-08-23 00:00:00;0,00;59,00;2,371.55
2021-08-24 00:00:00;0,00;63,40;2,367.05
2021-08-25 00:00:00;0,00;62,00;2,376.16
2021-08-26 00:00:00;0,00;65,80;2,371.70
2021-08-27 00:00:00;0,00;64,20;2,373.14
2021-08-30 00:00:00;0,00;66,00;2,372.81
2021-08-31 00:00:00;0,00;67,40;2,351.25
2021-09-01 00:00:00;0,00;65,60;2,368.67
2021-09-02 00:00:00;0,00;68,00;2,388.40
2021-09-03 00:00:00;0,00;68,60;2,369.73
2021-09-06 00:00:00;0,00;70,40;2,394.26
2021-09-07 00:00:00;0,00;67,40;2,377.94
2021-09-08 00:00:00;0,00;66,00;2,347.16
2021-09-09 00:00:00;0,00;65,80;2,353.39
2021-09-10 00:00:00;0,00;64,00;2,349.67
2021-09-13 00:00:00;0,00;68,00;2,335.34
2021-09-14 00:00:00;0,00;65,40;2,341.77
2021-09-15 00:00:00;0,00;64,80;2,324.75
2021-09-16 00:00:00;0,00;63,60;2,344.03
2021-09-17 00:00:00;0,00;67,40;2,323.55
2021-09-20 00:00:00;0,00;67,40;2,272.46
2021-09-21 00:00:00;0,00;63,00;2,274.88
2021-09-22 00:00:00;0,00;63,20;2,299.15
2021-09-23 00:00:00;0,00;62,60;2,338.00
2021-09-24 00:00:00;0,00;65,00;2,313.27
